,0
loancurrentdaysdelinquent,0.18648750688197716
lp_grossprincipalloss,0.10367256599042067
lp_netprincipalloss,0.07968340743997786
loanfirstdefaultedcyclenumber,0.07219202876315092
loannumber,0.01863254941585281
lp_customerprincipalpayments,0.01222633185020172
loanmonthssinceorigination,0.011788712151304611
lp_collectionfees,0.010166939444300256
prosperrating_numeric,0.00692604804308581
lp_nonprincipalrecoverypayments,0.006618897471235995
lp_customerpayments,0.0063688334775833045
estimatedreturn,0.006128630815807552
estimatedeffectiveyield,0.0057309468061716795
borrowerrate,0.0043711239857117746
prosperscore,0.004089614371399652
investors,0.0035227661318633836
estimatedloss,0.002489622408313925
borrowerapr,0.002208700804546803
lenderyield,0.0019568595132519527
lp_interestandfees,0.0019187552797849646
creditscorerangelower,0.0013647219672733456
creditscorerangeupper,0.0012054751238216484
monthlyloanpayment,0.0010095037620471402
lp_servicefees,0.0009256118073074628
log_loan_amount,0.0008476718309962701
revolvingcreditbalance,0.00079206729191388
inquirieslast6months,0.0007643731828114648
availablebankcardcredit,0.000715379230342377
openrevolvingmonthlypayment,0.000610027494802295
loanoriginalamount,0.0005980546159954145
installment_to_income_ratio,0.0005925299809089058
tradesneverdelinquent_percentage,0.0005683400377736089
income_to_loan_ratio,0.000561651881251474
totalinquiries,0.0005539995378201926
opencreditlines,0.00046485232960210757
scorexchangeattimeoflisting,0.0003306805879175332
totaltrades,0.0003242239102522862
listingcategory_numeric,0.0003240196597339635
credit_utilization,0.0003181785695004359
prosperprincipaloutstanding,0.0002999421483032181
credit_age_months,0.00029832095886602106
bankcardutilization,0.00029413124710954007
debttoincomeratio,0.00028972254915157124
employmentstatusduration,0.000282514168956191
prosperpaymentslessthanonemonthlate,0.0002755437374380979
statedmonthlyincome,0.00026796428991632514
log_monthly_income,0.0002542039188366525
totalcreditlinespast7years,0.0002501731126856375
openrevolvingaccounts,0.0002474415479276503
currentcreditlines,0.00019528633333938894
